counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
0,Abraham,,single,Old Time Rock and Roll,,
1,Brad Ackles,,single,17 Seconds,,
2,Karen Adams,,single,In Which Addison Finds the Magic,,
3,Reed Adamson,Nora Zehetner,multiple,Invasion,Sanctuary,['6']
4,Winnie Adkins,,single,You Haven't Done Nothin',,
5,Kim Allen,,single,Suicide is Painless,,
6,Grandma Anderson,Evelyn Reese,multiple,Dark Was the Night,Suddenly,['8']
7,Holly Anderson,,single,All By Myself,,
8,Jessica Anderson,,single,Suddenly,,
9,Robert Anderson,Dan Conroy,multiple,Dark Was the Night,Suddenly,['8']
10,Wallace Anderson,,single,Invest in Love,,
11,Harper Avery,Chelcie Ross,multiple,Perfect Little Accident,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,,single,All I Could Do Was Cry,,
13,Alexander Ball,,single,Nothing to Fear,,
14,Joyce Basche,Sarah Lilly,multiple,She's Killing Me,Sleeping Monster,['9']
15,Cathy Becker,,single,I Saw What I Saw,,
16,Ed Beckert,,single,It's a Long Way Back,,
17,Grace Bickham,,single,Break on Through,,
18,Andrew Billings,,single,Both Sides Now,,
19,Charlie Bilson,,single,All You Need is Love,,
20,Dr. Bones,,multiple,Time Has Come Today,,
21,Heather Brooks,Tina Majorino,multiple,"Going, Going, Gone",I Want You With Me,"['9', '10']"
22,Teresa Brotherton,,single,Physical Attraction... Chemical Reaction,,
23,Rosemary Bullard,,single,Rise Up,,
24,Henry Burton,Scott Foley,multiple,Adrift and at Peace,Suddenly,"['7', '8']"
25,Jake Burton,,single,Yesterday,,
